Diện tích,Mức giá,Mặt tiền,Pháp lý,Khu vực,Loại bất động sản,Đường vào,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Hướng nhà
37 m²,"1,8 tỷ",,,Nam Từ Liêm,Căn hộ chung cư,,,1 phòng,1 phòng,Đầy đủ,,Đông - Bắc
30 m²,"5,5 tỷ","3,5 m",Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,5 tầng,
80 m²,Thỏa thuận,"5,8 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,6 phòng,,Đầy đủ,4 tầng,Nam
82 m²,Thỏa thuận,,Hợp đồng mua bán,Đống Đa,Căn hộ chung cư,,Tây - Nam,3 phòng,2 phòng,Đầy đủ,,Đông - Bắc
40 m²,"8,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,3 m,,6 phòng,6 phòng,Đầy đủ,5 tầng,
406 m²,220 tỷ,20 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà mặt phố,30 m,,57 phòng,20 phòng,Cơ bản,10 tầng,
188 m²,40 tỷ,10 m,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",,,,,Đầy đủ,4 tầng,
32 m²,3 tỷ,"3,2 m",,Long Biên,Bán đất,"2,5 m",,,,,,
55 m²,18 tỷ,,,Hà Đông,Nhà riêng,,,,,,6 tầng,
79 m²,6 tỷ,4 m,Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,6 m,,,,,,Đông - Bắc
138 m²,64 tỷ,,,Hoàng Mai,"Nhà biệt thự, liền kề",,,,,,,
83 m²,17 tỷ,,Sổ đỏ pháp lý sạch sẵn sàng giao dịch.,Nam Từ Liêm,Nhà riêng,,,22 phòng,,Đầy đủ,8 tầng,
48 m²,"8,69 tỷ",4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,5 m,,3 phòng,3 phòng,Cơ bản,4 tầng,Đông - Nam
80 m²,"20,5 tỷ",8 m,Sổ đỏ,Tây Hồ,Nhà riêng,,,,,,4 tầng,
50 m²,"12,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,12 m,,4 phòng,5 phòng,Đầy đủ,5 tầng,
110 m²,"4,4 tỷ",5 m,Sổ đỏ/ Sổ hồng,Thạch Thất,Bán đất,6 m,,,,,,Tây - Nam
40 m²,"4,7 tỷ",,Sổ đỏ,Tây Hồ,Nhà riêng,,,4 phòng,,,4 tầng,
62 m²,"13,6 tỷ",,,Bắc Từ Liêm,Nhà riêng,,,,,,,
67 m²,Thỏa thuận,"4,5 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,,,,,,4 tầng,
134 m²,55 tỷ,"7,1 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,,,,9 tầng,
31 m²,"3,1 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,5 tầng,
110 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Đan Phượng,Căn hộ chung cư,,Đông - Bắc,3 phòng,3 phòng,Đầy đủ,,Tây - Nam
146 m²,10 tỷ,,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,,3 phòng,2 phòng,Full Nội thất cao cấp,,
"97,3 m²","6,5 tỷ",,Sổ đỏ,Bắc Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,Full đồ.,,
42 m²,"7,1 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,4 phòng,,,4 tầng,
35 m²,7 tỷ,5 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,3 m,Tây,4 phòng,5 phòng,Cơ bản,6 tầng,Tây
145 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,29 phòng,,Đầy đủ nội thất.,7 tầng,
70 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Gia Lâm,Nhà riêng,,,,,Cơ bản,,Đông - Nam
84 m²,"14,1 tỷ","4,2 m",Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",9 m,,6 phòng,4 phòng,Đầy đủ,5 tầng,
34 m²,"6,6 tỷ",4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,5 tầng,
170 m²,9 tỷ,,Hợp đồng mua bán,Nam Từ Liêm,Căn hộ chung cư,,,4 phòng,3 phòng,Đầy đủ,,
31 m²,"4,95 tỷ","3,6 m",Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,6 phòng,4 phòng,Cơ bản,5 tầng,
50 m²,"16,2 tỷ","6,2 m",Sổ đỏ chính chủ,Nam Từ Liêm,Nhà riêng,10 m,,2 phòng,1 phòng,,1 tầng,
45 m²,Thỏa thuận,"4,69 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,"3,5 m",,,,,,Tây - Bắc
75 m²,"4,7 tỷ",,Hợp đồng mua bán,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ Nội thất bàn giao full đồ liền tường thương hiệu cao cấp như ảnh.,,Đông - Nam
300 m²,Thỏa thuận,,,Hà Đông,Đất nền dự án,25 m,,,,,,
138 m²,64 tỷ,8 m,Sổ đỏ/ Sổ hồng,Ba Đình,"Nhà biệt thự, liền kề",15 m,Tây - Nam,,,,7 tầng,Đông - Nam
62 m²,"37,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,,,,,,5 tầng,
45 m²,16 tỷ,"3,7 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,8 m,,3 phòng,7 phòng,Đầy đủ,8 tầng,
32 m²,5 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,5 tầng,
63 m²,"15,8 tỷ",,,Long Biên,Nhà riêng,,,3 phòng,5 phòng,Nội thất xịn xò.,6 tầng,
72 m²,24 tỷ,"8,2 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,8 phòng,,Đầy đủ,4 tầng,
37 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,3 phòng,,,5 tầng,
80 m²,"17,9 tỷ","4,4 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Bán đất,8 m,,,,,,
74 m²,"3,8 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
60 m²,"2,2 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,2 phòng,,Đầy đủ,,
90 m²,19 tỷ,6 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,10 m,,4 phòng,4 phòng,Cơ bản,5 tầng,
44 m²,"4,65 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,,,,,,,
70 m²,"3,8 tỷ",,,Gia Lâm,Căn hộ chung cư,,,2 phòng,2 phòng,"Bàn giao nội thất liền tường cao cấp, miễn phí 1 năm phí dịch vụ..",,
34 m²,"7,6 tỷ",,Sổ đỏ,Thanh Xuân,Nhà riêng,,,3 phòng,4 phòng,Full nội thất tặng lại.,5 tầng,
54 m²,"7,9 tỷ",1 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,,,,,Cơ bản,3 tầng,
67 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Quốc Oai,Bán đất,5 m,,,,,,
80 m²,"39,5 tỷ","4,3 m","+ Sổ đỏ vuông vắn đẹp, sẵn sàng giao dịch.",Nam Từ Liêm,Nhà mặt phố,15 m,Đông,7 phòng,7 phòng,Đầy đủ.,5 tầng,Đông
31 m²,"4,75 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,2 m,Đông - Bắc,3 phòng,4 phòng,Cơ bản,5 tầng,Đông - Bắc
45 m²,"6,9 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,5 phòng,4 phòng,Cơ bản,,
60 m²,27 triệu/m²,5 m,Sổ đỏ/ Sổ hồng,Thạch Thất,Bán đất,6 m,,,,,,
36 m²,"4,15 tỷ",,Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,,,5 phòng,4 phòng,Cơ bản,5 tầng,
40 m²,4 tỷ,4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,3 m,,4 phòng,4 phòng,Đầy đủ,5 tầng,
48 m²,6 tỷ,4 m,Sổ đỏ,Ba Đình,Nhà riêng,6 m,,6 phòng,7 phòng,Nội thất bàn giao full.,7 tầng,
60 m²,Thỏa thuận,"3,9 m",,Hai Bà Trưng,Nhà mặt phố,,,,,,,
88 m²,18 tỷ,8 m,Sổ đỏ,Cầu Giấy,Nhà riêng,8 m,,5 phòng,5 phòng,,5 tầng,
41 m²,"9,5 tỷ",4 m,,Đống Đa,Nhà riêng,,,,,,4 tầng,
"302,5 m²",Thỏa thuận,25 m,Đang chờ sổ,Mê Linh,"Nhà biệt thự, liền kề",24 m,,,,,,Tây - Bắc
58 m²,14 tỷ,5 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,"3,5 m",,12 phòng,12 phòng,Đầy đủ,7 tầng,
118 m²,"6,8 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ. Thiết kế nội thất theo thiên hướng Châu Âu.,,Tây
120 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,4 phòng,2 phòng,Đầy đủ,,Tây - Nam
"45,1 m²","9,7 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,20 m,Đông,4 phòng,3 phòng,Cơ bản,4 tầng,Đông
60 m²,61 tỷ,6 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,,,5 phòng,5 phòng,Đầy đủ,5 tầng,Đông
42 m²,"9,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,12 phòng,12 phòng,Đầy đủ,5 tầng,Đông - Nam
60 m²,13 tỷ,3 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,"Nhà biệt thự, liền kề",13 m,Đông - Bắc,6 phòng,4 phòng,Cơ bản,5 tầng,Đông - Bắc
120 m²,"2,76 tỷ",7 m,Sổ đỏ/ Sổ hồng,Quốc Oai,Bán đất,6 m,,,,,,
"76,5 m²",56 triệu/m²,5 m,Sổ đỏ/ Sổ hồng,Thanh Oai,Bán đất,6 m,,,,,,Đông - Nam
38 m²,"16,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà mặt phố,10 m,,4 phòng,6 phòng,,7 tầng,
88 m²,18 tỷ,"4,7 m",Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",17 m,Đông - Nam,4 phòng,4 phòng,Đầy đủ,5 tầng,Đông - Nam
90 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,"Nhà biệt thự, liền kề",,,,,,,
78 m²,"12,2 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,,,Đầy đủ,6 tầng,
237 m²,"16,5 tỷ",,Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,,,4 phòng,3 phòng,Đầy đủ,3 tầng,
100 m²,"24,5 tỷ",5 m,Hợp đồng mua bán,Hoài Đức,"Nhà biệt thự, liền kề",30 m,,6 phòng,4 phòng,Đầy đủ,4 tầng,Đông
,,,,,,,,,,,,
71 m²,"7,46 tỷ","4,66 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,10 m,,,,,,Đông - Nam
42 m²,"10,8 tỷ",4 m,,Đống Đa,Nhà riêng,,,,,,5 tầng,
72 m²,"18,3 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,,,,,Đầy đủ,7 tầng,
74 m²,"4,35 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Tây - Bắc,2 phòng,2 phòng,Đầy đủ,,Đông - Nam
49 m²,"7,6 tỷ",5 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,,,,,,,
160 m²,17 tỷ,,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Căn hộ chung cư,,,5 phòng,4 phòng,Đầy đủ,,
73 m²,"3,5 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Không nội thất,,Đông - Nam
48 m²,30 tỷ,"4,38 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà mặt phố,,,,,Đầy đủ,5 tầng,Tây - Bắc
127 m²,55 tỷ,"7,2 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,20 m,Đông - Bắc,8 phòng,8 phòng,Cơ bản,8 tầng,Đông - Bắc
75 m²,"4,53 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ.,,
270 m²,Thỏa thuận,"11,6 m",Sổ đỏ/ Sổ hồng,Hoài Đức,"Nhà biệt thự, liền kề",42 m,Nam,,,,4 tầng,Nam
36 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,,,,,Không nội thất,5 tầng,
312 m²,Thỏa thuận,,Sổ hồng riêng,Thạch Thất,Bán đất,,,,,Sổ hồng riêng.,,
"34,4 m²","4,95 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,4 tầng,
36 m²,"5,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,3 m,,4 phòng,3 phòng,Đầy đủ,4 tầng,
400 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Mê Linh,"Nhà biệt thự, liền kề",,,4 phòng,,,3 tầng,
107 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Đan Phượng,Căn hộ chung cư,,Đông - Nam,3 phòng,3 phòng,Đầy đủ,,Đông - Bắc
"32,5 m²","6,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,3 m,,3 phòng,3 phòng,,5 tầng,
78 m²,"16,8 tỷ",,,Đống Đa,Nhà riêng,,,,,,6 tầng,
120 m²,"23,5 tỷ",6 m,Sổ đỏ lâu dài,Hoài Đức,"Nhà biệt thự, liền kề",,,,,,4 tầng,Tây - Bắc
30 m²,"4,3 tỷ","3,5 m",+ Sổ đỏ chính chủ - Sẵn sàng giao dịch..,Nam Từ Liêm,Nhà riêng,2 m,Tây - Nam,3 phòng,4 phòng,Nội thất cơ bản.,5 tầng,Tây - Nam
55 m²,9 tỷ,,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,35 m,,4 phòng,4 phòng,Đầy đủ.,4 tầng,
63 m²,19 tỷ,,Sổ đỏ/ Sổ hồng,Đông Anh,"Nhà biệt thự, liền kề",,,8 phòng,8 phòng,,5 tầng,
46 m²,Thỏa thuận,5 m,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",,,,,,7 tầng,
259 m²,Thỏa thuận,"13,3 m",Sổ đỏ/ Sổ hồng,Hoài Đức,"Nhà biệt thự, liền kề",32 m,Tây - Bắc,,,,5 tầng,Tây - Bắc
95 m²,"6,8 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
106 m²,"6,4 tỷ",,,Long Biên,Căn hộ chung cư,,,3 phòng,,Full nội thất liền tường.,,
70 m²,"4,28 tỷ",,Hỗ trợ toàn bộ thủ tục pháp lý sang tên sổ đỏ.,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
50 m²,3 tỷ,,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,,,,,,,
"70,4 m²","4,6 tỷ",,Hợp đồng mua bán,Nam Từ Liêm,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Cơ bản,,Tây - Nam
55 m²,"16,5 tỷ","4,5 m",,Thanh Xuân,Nhà riêng,15 m,,,,,5 tầng,
88 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,,,Đông - Bắc
146 m²,"4,8 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
70 m²,Thỏa thuận,"5,6 m",Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,,,,,,,
,,,,,,,,,,,,
100 m²,"6,4 tỷ",,,Bắc Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,+ Để lại toàn bộ nội thất cao cấp.,,Bắc
161 m²,"13,3 tỷ",,,Thanh Xuân,Căn hộ chung cư,,,4 phòng,3 phòng,,,Đông - Nam
132 m²,Thỏa thuận,"8,5 m",Sổ đỏ/ Sổ hồng,Tây Hồ,"Nhà biệt thự, liền kề",,,4 phòng,5 phòng,Cơ bản,4 tầng,
62 m²,"3,04 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,"Đầy đủ bán full nội thất gồm: Điều hòa, tivi, tủ lạnh, máy giặt, tủ bếp + bếp + hút mùi, nóng lạnh, sofa, giường, tủ, sàn gỗ,...",,
,,,,,,,,,,,,
50 m²,Thỏa thuận,5 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,15 m,,5 phòng,7 phòng,Đầy đủ,7 tầng,
40 m²,"9,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,,,
"148,6 m²",75 triệu/m²,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,,,
42 m²,"4,9 tỷ","6,5 m",Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,4 m,,4 phòng,4 phòng,Đầy đủ,5 tầng,
84 m²,"16,5 tỷ",6 m,Sổ đỏ/ Sổ hồng,Gia Lâm,"Shophouse, nhà phố thương mại",12 m,,,,,5 tầng,Đông - Bắc
130 m²,30 tỷ,,,Hoàng Mai,"Nhà biệt thự, liền kề",,,,,,,
316 m²,Thỏa thuận,7 m,,Quốc Oai,Bán đất,7 m,,,,,,Bắc
293 m²,Thỏa thuận,33 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,,,,,Đầy đủ Đầy đủ trang thiết bị nội thất - Cao cấp. Đầy đủ trang thiết bị nội thất - Cao cấp.,9 tầng,
142 m²,56 tỷ,"6,6 m",,Nam Từ Liêm,"Nhà biệt thự, liền kề",,,,,,4 tầng,
60 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,,,Tây - Bắc
"47,8 m²","5,86 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,3 m,,4 phòng,4 phòng,Cơ bản,5 tầng,
"77,5 m²",Thỏa thuận,,,Mê Linh,Bán đất,,,,,,,
73 m²,"16,9 tỷ","8,3 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,,,Đầy đủ,7 tầng,
120 m²,45 tỷ,4 m,Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Nhà mặt phố,,,,,,4 tầng,
"37,5 m²","8,55 tỷ","6,9 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,4 tầng,
75 m²,"3,55 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
80 m²,"23,5 tỷ",15 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,8 m,,6 phòng,5 phòng,Đầy đủ,4 tầng,
88 m²,"10,5 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
120 m²,"5,6 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Đầy đủ,,Đông - Nam
337 m²,81 tỷ,,Sổ đỏ/ Sổ hồng,Ba Đình,Căn hộ chung cư,,,,,Không nội thất,,
93 m²,13 tỷ,"4,3 m",,Long Biên,Bán đất,13 m,,,,,,Đông - Nam
35 m²,"5,5 tỷ",,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ,5 tầng,
34 m²,"7,16 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,,,Cơ bản,5 tầng,
80 m²,Thỏa thuận,6 m,,Đông Anh,"Nhà biệt thự, liền kề",15 m,Đông - Nam,6 phòng,5 phòng,,5 tầng,Tây - Bắc
50 m²,"8,95 tỷ",,,Tây Hồ,Nhà riêng,,,,,,5 tầng,
70 m²,27 tỷ,5 m,,Hà Đông,Nhà mặt phố,60 m,,,,,6 tầng,
184 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Thanh Trì,Bán đất,25 m,,,,,,Nam
96 m²,"5,5 tỷ",,Hợp đồng mua bán,Long Biên,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
50 m²,"5,66 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,,4 phòng,,Đầy đủ,4 tầng,
90 m²,"4,6 tỷ","5,5 m",Sổ đỏ/ Sổ hồng,Mê Linh,Bán đất,8 m,,,,,,
50 m²,"11,95 tỷ","4,5 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,13 m,,,,,,
50 m²,21 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,,,Đầy đủ,6 tầng,
45 m²,"5,8 tỷ",4 m,"* Sổ đỏ chính chủ riêng biệt, pháp lý sạch, không tranh chấp. Giấy phép xây dựng đầy đủ.",Hà Đông,Nhà riêng,3 m,,4 phòng,4 phòng,"Hệ thống cửa cách âm, cửa cuốn điện thép, hệ thống cửa gỗ lim cho các phòng và hệ thống thiết bị vệ sinh nhập ngoại, trần thạch cao, đèn chiếu sáng,... Nội thất hoàn thiện đầy đủ chỉ việc ở.",5 tầng,
60 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng.,Gia Lâm,Bán đất,,,,,,,
93 m²,"2,3 tỷ","3,09 m",Đang chờ sổ,Bắc Từ Liêm,Bán đất,,,,,,,
83 m²,25 tỷ,7 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,Đông - Nam,3 phòng,3 phòng,,3 tầng,Nam
71 m²,"9,45 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,,,,,,,
110 m²,"2,97 tỷ",,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Căn hộ chung cư,,,3 phòng,2 phòng,,,
51 m²,"8,15 tỷ",4 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,4 phòng,4 phòng,Cao cấp,6 tầng,
40 m²,"6,2 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,,,Đầy đủ.,,
61 m²,"10,6 tỷ",5 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,,,,5 tầng,
60 m²,18 tỷ,5 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,8 phòng,8 phòng,Đầy đủ,6 tầng,
38 m²,"7,3 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,5 phòng,4 phòng,,6 tầng,
60 m²,"14,8 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",7 m,Đông - Bắc,5 phòng,5 phòng,Đầy đủ,5 tầng,Đông - Bắc
38 m²,"5,5 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,Đông - Nam,3 phòng,4 phòng,Đầy đủ,5 tầng,Đông - Nam
40 m²,"5,75 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,4 phòng,,,4 tầng,
83 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
72 m²,"9,3 tỷ","5,7 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,,,4 phòng,3 phòng,Đầy đủ,5 tầng,
88 m²,"8,5 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Đầy đủ,,Đông - Bắc
50 m²,16 tỷ,"7,5 m",Sổ đỏ.,Long Biên,Nhà mặt phố,,,,,,5 tầng,
78 m²,"3,9 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Đầy đủ,,Đông - Bắc
52 m²,"12,8 tỷ","4,5 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,4 m,,13 phòng,13 phòng,Đầy đủ,7 tầng,
92 m²,32 tỷ,,Sổ đỏ,Hà Đông,Nhà mặt phố,20 m,,4 phòng,3 phòng,,4 tầng,
280 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng.,Nam Từ Liêm,"Nhà biệt thự, liền kề",,,,,,,
"35,5 m²","8,25 tỷ",,Giấy chứng nhận,Đống Đa,Nhà riêng,,,6 phòng,,,5 tầng,Đông - Bắc
80 m²,"9,52 tỷ",6 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,3 m,,18 phòng,4 phòng,Đầy đủ,7 tầng,
50 m²,"28,5 tỷ",,Sổ đỏ,Ba Đình,Nhà mặt phố,,,,,,7 tầng,
35 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,1 phòng,1 phòng,Đầy đủ,2 tầng,
115 m²,"7,15 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Tây - Nam,3 phòng,2 phòng,Cơ bản,,Đông - Bắc
168 m²,"55,95 tỷ",10 m,,Tây Hồ,Nhà riêng,6 m,,10 phòng,10 phòng,,10 tầng,
68 m²,"6,8 tỷ","4,1 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,"3,8 m",,1 phòng,1 phòng,Cơ bản,1 tầng,
56 m²,"11,5 tỷ","4,6 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,"3,5 m",,5 phòng,5 phòng,Cơ bản,5 tầng,
70 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,2 phòng,,,,
33 m²,4 tỷ,,,Hoài Đức,Nhà riêng,4 m,,,,,,
